root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
9501,27,True,26,0,4,7,9,0,10,3,2,1,1,2,d1:1;d3:1
9503,22,True,21,0,3,1,9,0,13,6,3,2,1,3,d2:1;d4:1;d5:1
9505,20,True,19,0,4,15,12,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
9507,9,True,8,0,1,3,1,0,2,2,2,1,1,2,d1:1;d2:1
9509,9,True,8,0,1,5,1,0,4,4,3,2,1,3,d1:1;d2:1;d4:1
9511,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
9513,34,True,33,0,5,9,13,0,25,6,3,2,1,3,d2:1;d4:1;d5:1
9515,9,True,8,0,1,5,1,0,4,4,3,2,1,3,d1:1;d2:1;d4:1
9517,14,True,13,0,2,9,6,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
9519,23,True,22,0,1,2,3,0,0,4,2,1,1,2,d1:1;d3:1
9521,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
9523,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
9525,13,True,12,0,1,6,2,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
9527,32,True,31,0,4,3,12,0,2,8,5,2,3,3,d1:1;d3:1;d5:1;d6:1;d8:1
9529,23,True,22,0,1,7,2,0,5,4,2,1,1,2,d2:1;d4:1
9531,13,True,12,0,1,6,2,0,4,6,3,2,1,3,d2:1;d4:1;d5:1
9533,9,True,8,0,1,5,1,0,4,2,2,1,1,2,d1:1;d2:1
9535,19,True,18,0,2,1,2,0,6,5,3,1,2,2,d1:1;d3:1;d4:1
9537,14,True,13,0,1,7,2,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
9539,14,True,13,0,2,9,4,0,5,4,3,1,2,2,d1:1;d3:1;d4:1
9541,18,True,17,0,4,6,4,0,7,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
9543,9,True,8,0,1,4,2,0,2,4,2,1,1,2,d2:1;d4:1
9545,14,True,13,0,2,9,4,0,5,4,3,1,2,2,d1:1;d3:1;d4:1
9547,18,True,17,0,4,6,4,0,7,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
9549,18,True,17,0,4,4,2,0,7,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
9551,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9553,18,True,17,0,4,4,2,0,7,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
9555,17,True,16,0,4,3,2,0,6,8,5,1,4,2,d1:1;d3:1;d4:1;d6:1;d8:1
9557,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
9559,14,True,13,0,1,7,2,0,5,5,3,2,1,3,d2:1;d4:1;d5:1
9561,16,True,15,0,1,6,2,0,4,4,2,1,1,2,d1:1;d3:1
9563,37,True,36,0,7,2,14,0,11,6,3,1,2,2,d1:1;d3:1;d5:1
9565,21,True,20,0,3,16,9,0,12,6,3,2,1,3,d2:1;d4:1;d5:1
9567,14,True,13,0,1,4,2,0,2,3,2,1,1,2,d1:1;d3:1
9569,16,True,15,0,1,3,2,0,2,3,2,1,1,2,d1:1;d2:1
9571,15,True,14,0,1,12,1,0,11,3,2,1,1,2,d2:1;d3:1
9573,15,True,14,0,1,12,1,0,11,3,2,1,1,2,d2:1;d3:1
9575,30,True,29,0,8,4,7,0,8,4,2,1,1,2,d1:1;d3:1
9577,25,True,24,0,3,8,9,0,4,8,5,2,3,3,d1:1;d2:1;d4:1;d6:1;d7:1
9579,25,True,24,0,3,8,9,0,4,8,5,2,3,3,d1:1;d2:1;d4:1;d6:1;d7:1
9581,7,True,6,0,1,3,1,0,2,3,2,1,1,2,d1:1;d2:1
9583,24,True,23,0,5,1,9,0,6,5,3,1,2,2,d1:1;d2:1;d4:1
9585,20,True,19,0,3,15,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
9587,16,True,15,0,1,13,1,0,12,3,2,1,1,2,d2:1;d3:1
9589,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
9591,31,True,30,0,5,27,13,0,22,6,3,2,1,3,d2:1;d4:1;d5:1
9593,22,True,21,0,5,5,7,0,9,4,3,1,2,2,d1:1;d2:1;d4:1
9595,15,True,14,0,1,12,1,0,11,3,2,1,1,2,d2:1;d3:1
9597,14,True,13,0,1,11,1,0,10,3,2,1,1,2,d2:1;d3:1
9599,28,True,27,0,5,1,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
9601,31,True,30,0,5,6,13,0,22,6,3,2,1,3,d2:1;d4:1;d5:1
9603,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
9605,29,True,28,0,5,3,13,0,20,6,3,2,1,3,d2:1;d4:1;d5:1
9607,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
9609,14,True,13,0,1,2,1,0,1,3,2,1,1,2,d1:1;d3:1
9611,28,True,27,0,5,4,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
9613,12,True,11,0,4,5,2,0,3,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
9615,20,True,19,0,3,15,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
9617,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9619,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9621,11,True,10,0,4,4,2,0,2,7,5,1,4,2,d1:1;d2:1;d4:1;d6:1;d7:1
9623,9,True,8,0,0,-1,0,0,-1,0,0,0,0,0,none
9625,11,True,10,0,0,-1,0,0,-1,0,0,0,0,0,none
9627,10,True,9,0,0,-1,0,0,-1,0,0,0,0,0,none
9629,13,True,12,0,1,3,1,0,2,5,3,2,1,3,d2:1;d4:1;d5:1
9631,26,True,25,0,2,6,6,0,0,5,3,1,2,2,d1:1;d2:1;d4:1
9633,12,True,11,0,0,-1,0,0,-1,0,0,0,0,0,none
9635,19,True,18,0,3,14,9,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
9637,18,True,17,0,3,13,9,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
9639,22,True,21,0,3,2,7,0,5,3,2,1,1,2,d1:1;d3:1
9641,14,True,13,0,1,2,1,0,1,6,4,3,1,4,d1:1;d3:1;d4:1;d6:1
9643,28,True,27,0,5,7,13,0,19,6,3,2,1,3,d2:1;d4:1;d5:1
9645,30,True,29,0,4,8,12,0,21,6,3,2,1,3,d2:1;d4:1;d5:1
9647,20,True,19,0,3,1,9,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
9649,13,True,12,0,3,5,1,0,4,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
9651,12,True,11,0,3,4,1,0,3,6,4,1,3,2,d1:1;d2:1;d4:1;d6:1
9653,17,True,16,0,1,5,3,0,2,3,2,1,1,2,d1:1;d2:1
