n,steps,r_start,depth_len,height_seq,residual_shape_seq,first_failed_depth_seq,residual_mod_8_seq,residual_mod_16_seq,residual_mod_32_seq,residual_all_ones_depth_seq,residual_all_ones_depth_first,residual_all_ones_depth_last,residual_all_ones_depth_mode,residual_all_ones_depth_max,count_all_ones_depth_ge_4,count_all_ones_depth_ge_5,count_all_ones_depth_ge_6,positive_depths,positive_blocks,positive_depth_count,first_frontier_depth,frontier_margin,local_islands,local_island_count,sign_change_up_positions,sign_change_up_count,first_sign_change_pair,residual_mod_16_first,residual_mod_16_last,residual_mod_16_mode,residual_mod_32_first,residual_mod_32_last,residual_mod_32_mode,max_positive_block_length,max_margin_jump,max_retention_drop,max_continuation_drop,max_retention_drop_minus_2_continuation_drop,sign_change_cause_labels,sign_change_drop_details,sign_change_pressure_decay_details,local_island_pressure_decay_details,margin_step_diff,retention_drop_minus_2_continuation_drop,margin_step_matches_net_drop,margin_step_identity_failure_count,margin_profile,retention_profile,continuation_profile
15257,64,2,12,2;1;3;4;1;1;3;1;2;1;2;1;2;3;2;2;1;3;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,11443;17165;6437;1207;1811;2717;1019;1529;1147;1721;1291;1937;1453;545;409;307;461;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;4;5;2;2;4;2;3;2;3;2;3;4;3;3;2;4;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,3;5;5;7;3;5;3;1;3;1;3;1;5;1;1;3;5;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;13;5;7;3;13;11;9;11;9;11;1;13;1;9;3;13;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,19;13;5;23;19;29;27;25;27;25;11;17;13;1;25;19;13;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;1;1;3;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2,1,1,3,0,0,0,,,0,-1,0,,0,,0,,3,1,1,19,1,1,0,3,7,2,0,,,,,2:3;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:3;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-5;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:9;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15259,64,2,12,1;2;1;1;1;8;1;1;2;1;2;1;2;3;2;2;1;3;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,22889;17167;25751;38627;57941;679;1019;1529;1147;1721;1291;1937;1453;545;409;307;461;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;3;2;2;2;9;2;2;3;2;3;2;3;4;3;3;2;4;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1;7;7;3;5;7;3;1;3;1;3;1;5;1;1;3;5;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,9;15;7;3;5;7;11;9;11;9;11;1;13;1;9;3;13;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,9;15;23;3;21;7;27;25;27;25;11;17;13;1;25;19;13;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;4;3;2;1;3;2;1;2;1;2;1;1;1;1;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,4,1,0,0,,,0,-1,0,,0,,0,,9,1,1,9,1,1,0,1,7,3,0,,,,,2:1;3:1;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-3;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:11;3:4;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:4;3:1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15261,64,2,12,3;1;2;1;1;2;1;3;2;2;1;1;1;2;1;4;2;3;2;4;2;2;1;1;3;1;1;1;2;2;1;2;1;1;2;1;1;1;2;3;1;1;2;1;2;1;1;1;1;1;3;1;1;1;4;2;2;4;3;1;1;5;4;2,5723;8585;6439;9659;14489;10867;16301;6113;4585;3439;5159;7739;11609;8707;13061;2449;1837;689;517;97;73;55;83;125;47;71;107;161;121;91;137;103;155;233;175;263;395;593;445;167;251;377;283;425;319;479;719;1079;1619;2429;911;1367;2051;3077;577;433;325;61;23;35;53;5;1;1,4;2;3;2;2;3;2;4;3;3;2;2;2;3;2;5;3;4;3;5;3;3;2;2;4;2;2;2;3;3;2;3;2;2;3;2;2;2;3;4;2;2;3;2;3;2;2;2;2;2;4;2;2;2;5;3;3;5;4;2;2;6;5;3,3;1;7;3;1;3;5;1;1;7;7;3;1;3;5;1;5;1;5;1;1;7;3;5;7;7;3;1;1;3;1;7;3;1;7;7;3;1;5;7;3;1;3;1;7;7;7;7;3;5;7;7;3;5;1;1;5;5;7;3;5;5;1;1,11;9;7;11;9;3;13;1;9;15;7;11;9;3;5;1;13;1;5;1;9;7;3;13;15;7;11;1;9;11;9;7;11;9;15;7;11;1;13;7;11;9;11;9;15;15;15;7;3;13;15;7;3;5;1;1;5;13;7;3;5;5;1;1,27;9;7;27;25;19;13;1;9;15;7;27;25;3;5;17;13;17;5;1;9;23;19;29;15;7;11;1;25;27;9;7;27;9;15;7;11;17;29;7;27;25;27;9;31;31;15;23;19;29;15;23;3;5;1;17;5;29;23;3;21;5;1;1,2;1;3;2;1;2;1;1;1;4;3;2;1;2;1;1;1;1;1;1;1;3;2;1;4;3;2;1;1;2;1;3;2;1;4;3;2;1;1;3;2;1;2;1;6;5;4;3;2;1;4;3;2;1;1;1;1;1;3;2;1;1;1;1,2,1,1,6,7,2,1,2,2,1,2,2,,0,,0,,11,1,1,27,1,27,1,5,15,10,0,,,,,2:-5;3:0;4:3;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-5;3:0;4:3;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:2;3:-3;4:-3;5:0;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:32;3:17;4:7;5:2;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:17;3:7;4:2;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15263,64,2,12,1;1;1;1;2;1;6;1;2;2;1;1;1;2;1;4;2;3;2;4;2;2;1;1;3;1;1;1;2;2;1;2;1;1;2;1;1;1;2;3;1;1;2;1;2;1;1;1;1;1;3;1;1;1;4;2;2;4;3;1;1;5;4;2,22895;34343;51515;77273;57955;86933;4075;6113;4585;3439;5159;7739;11609;8707;13061;2449;1837;689;517;97;73;55;83;125;47;71;107;161;121;91;137;103;155;233;175;263;395;593;445;167;251;377;283;425;319;479;719;1079;1619;2429;911;1367;2051;3077;577;433;325;61;23;35;53;5;1;1,2;2;2;2;3;2;7;2;3;3;2;2;2;3;2;5;3;4;3;5;3;3;2;2;4;2;2;2;3;3;2;3;2;2;3;2;2;2;3;4;2;2;3;2;3;2;2;2;2;2;4;2;2;2;5;3;3;5;4;2;2;6;5;3,7;7;3;1;3;5;3;1;1;7;7;3;1;3;5;1;5;1;5;1;1;7;3;5;7;7;3;1;1;3;1;7;3;1;7;7;3;1;5;7;3;1;3;1;7;7;7;7;3;5;7;7;3;5;1;1;5;5;7;3;5;5;1;1,15;7;11;9;3;5;11;1;9;15;7;11;9;3;5;1;13;1;5;1;9;7;3;13;15;7;11;1;9;11;9;7;11;9;15;7;11;1;13;7;11;9;11;9;15;15;15;7;3;13;15;7;3;5;1;1;5;13;7;3;5;5;1;1,15;7;27;25;3;21;11;1;9;15;7;27;25;3;5;17;13;17;5;1;9;23;19;29;15;7;11;1;25;27;9;7;27;9;15;7;11;17;29;7;27;25;27;9;31;31;15;23;19;29;15;23;3;5;1;17;5;29;23;3;21;5;1;1,4;3;2;1;2;1;2;1;1;4;3;2;1;2;1;1;1;1;1;1;1;3;2;1;4;3;2;1;1;2;1;3;2;1;4;3;2;1;1;3;2;1;2;1;6;5;4;3;2;1;4;3;2;1;1;1;1;1;3;2;1;1;1;1,4,1,1,6,8,2,1,2,2,1,2,4,,0,,0,,15,1,1,15,1,1,1,5,15,10,0,,,,,2:-5;3:-2;4:2;5:0;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-5;3:-2;4:2;5:0;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:4;3:-1;4:-3;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:34;3:19;4:9;5:3;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:19;3:9;4:3;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15265,64,2,12,2;2;1;2;3;1;1;2;1;7;1;1;4;1;2;1;1;2;1;1;1;2;3;1;1;2;1;2;1;1;1;1;1;3;1;1;1;4;2;2;4;3;1;1;5;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,11449;8587;12881;9661;3623;5435;8153;6115;9173;215;323;485;91;137;103;155;233;175;263;395;593;445;167;251;377;283;425;319;479;719;1079;1619;2429;911;1367;2051;3077;577;433;325;61;23;35;53;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;3;2;3;4;2;2;3;2;8;2;2;5;2;3;2;2;3;2;2;2;3;4;2;2;3;2;3;2;2;2;2;2;4;2;2;2;5;3;3;5;4;2;2;6;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1;3;1;5;7;3;1;3;5;7;3;5;3;1;7;3;1;7;7;3;1;5;7;3;1;3;1;7;7;7;7;3;5;7;7;3;5;1;1;5;5;7;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,9;11;1;13;7;11;9;3;5;7;3;5;11;9;7;11;9;15;7;11;1;13;7;11;9;11;9;15;15;15;7;3;13;15;7;3;5;1;1;5;13;7;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,25;11;17;29;7;27;25;3;21;23;3;5;27;9;7;27;9;15;7;11;17;29;7;27;25;27;9;31;31;15;23;19;29;15;23;3;5;1;17;5;29;23;3;21;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;2;1;1;3;2;1;2;1;3;2;1;2;1;3;2;1;4;3;2;1;1;3;2;1;2;1;6;5;4;3;2;1;4;3;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,6,5,2,1,2,2,1,2,1,,0,,0,,9,1,1,25,1,1,1,4,12,8,0,,,,,2:-4;3:2;4:1;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-4;3:2;4:1;5:-1;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:1;3:-3;4:-1;5:0;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:25;3:13;4:5;5:2;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:13;3:5;4:2;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15267,64,2,12,1;5;1;6;1;1;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,22901;2147;3221;151;227;341;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;6;2;7;2;2;11;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,5;3;5;7;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,5;3;5;7;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,21;3;21;23;3;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;2;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,3,0,0,0,,,0,-1,0,,0,,0,,5,1,1,21,1,1,0,1,3,1,0,,,,,2:1;3:1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-2;3:-1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:4;3:1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15269,64,2,12,4;1;1;1;2;2;3;1;1;3;2;1;2;3;2;2;1;3;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,2863;4295;6443;9665;7249;5437;2039;3059;4589;1721;1291;1937;1453;545;409;307;461;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,5;2;2;2;3;3;4;2;2;4;3;2;3;4;3;3;2;4;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,7;7;3;1;1;5;7;3;5;1;3;1;5;1;1;3;5;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,15;7;11;1;1;13;7;3;13;9;11;1;13;1;9;3;13;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,15;7;11;1;17;29;23;19;13;25;11;17;13;1;25;19;13;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;3;2;1;1;2;1;1;1;1;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4,1,1,4,1,0,0,,,0,-1,0,,0,,0,,15,1,1,15,1,1,0,1,5,3,0,,,,,2:-1;3:1;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:-1;3:1;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-1;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:9;3:4;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:4;3:1;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15271,64,2,12,1;1;2;1;2;2;2;5;2;1;2;1;2;3;2;2;1;3;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,22907;34361;25771;38657;28993;21745;16309;1529;1147;1721;1291;1937;1453;545;409;307;461;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;2;3;2;3;3;3;6;3;2;3;2;3;4;3;3;2;4;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,3;1;3;1;1;1;5;1;3;1;3;1;5;1;1;3;5;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,11;9;11;1;1;1;5;9;11;9;11;1;13;1;9;3;13;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,27;25;11;1;1;17;21;25;27;25;11;17;13;1;25;19;13;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;1;2;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2,1,1,3,0,0,0,,,0,-1,0,,0,,0,,11,1,1,27,1,1,0,2,6,2,0,,,,,2:2;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:2;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-4;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:8;3:2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15273,64,2,12,2;1;1;1;1;1;2;3;1;3;1;4;1;1;1;1;2;3;2;1;1;2;1;4;1;2;2;2;1;2;1;1;3;3;1;2;1;3;2;1;3;1;1;3;4;1;3;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2,11455;17183;25775;38663;57995;86993;65245;24467;36701;13763;20645;3871;5807;8711;13067;19601;14701;5513;4135;6203;9305;6979;10469;1963;2945;2209;1657;1243;1865;1399;2099;3149;1181;443;665;499;749;281;211;317;119;179;269;101;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;2;2;2;2;3;4;2;4;2;5;2;2;2;2;3;4;3;2;2;3;2;5;2;3;3;3;2;3;2;2;4;4;2;3;2;4;3;2;4;2;2;4;5;2;4;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3,7;7;7;7;3;1;5;3;5;3;5;7;7;7;3;1;5;1;7;3;1;3;5;3;1;1;1;3;1;7;3;5;5;3;1;3;5;1;3;5;7;3;5;5;3;5;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1,15;15;15;7;11;1;13;3;13;3;5;15;15;7;11;1;13;9;7;11;9;3;5;11;1;1;9;11;9;7;3;13;13;11;9;3;13;9;3;13;7;3;13;5;3;13;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1,31;31;15;7;11;17;29;19;29;3;5;31;15;7;11;17;13;9;7;27;25;3;5;11;1;1;25;27;9;23;19;13;29;27;25;19;13;25;19;29;23;19;13;5;19;29;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1,6;5;4;3;2;1;1;2;1;2;1;5;4;3;2;1;1;1;3;2;1;2;1;2;1;1;1;2;1;3;2;1;1;2;1;2;1;1;2;1;3;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,6,1,1,6,5,3,1,4,4,1,4,1,4,1,3,1,3->4,15,1,1,31,1,1,1,5,15,5,1,retention_drop_dominant,"3:ret=5,cont=2,diff=1,jump=1,cause=retention_drop_dominant","j=3,margin_j=0,margin_next=1,margin_jump=1,retention_j=10,retention_next=5,retention_drop=5,continuation_j=5,continuation_next=3,continuation_drop=2,retention_drop_minus_2_continuation_drop=1,cause=retention_drop_dominant","n=15273,island_depth=4,left_edge_j=3,margin_left=0,margin_island=1,margin_right=-1,retention_left=10,retention_island=5,retention_right=3,continuation_left=5,continuation_island=3,continuation_right=1",2:5;3:1;4:-2;5:0;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:5;3:1;4:-2;5:0;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-5;3:0;4:1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:25;3:10;4:5;5:3;6:1;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:10;3:5;4:3;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
15275,64,2,12,1;2;2;2;1;4;1;1;1;1;2;1;1;4;4;2;4;1;3;2;2;4;1;1;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,22913;17185;12889;9667;14501;2719;4079;6119;9179;13769;10327;15491;23237;4357;817;613;115;173;65;49;37;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2;3;3;3;2;5;2;2;2;2;3;2;2;5;5;3;5;2;4;3;3;5;2;2;3;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,1;1;1;3;5;7;7;7;3;1;7;3;5;5;1;5;3;5;1;1;5;7;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;9;3;5;15;15;7;11;9;7;3;5;5;1;5;3;13;1;1;5;7;11;1;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;25;3;5;31;15;7;27;9;23;3;5;5;17;5;19;13;1;17;5;7;11;17;13;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;2;1;5;4;3;2;1;3;2;1;1;1;1;2;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1,1,1,5,2,1,0,,,0,-1,0,,0,,0,,1,1,1,1,1,1,0,1,6,3,0,,,,,2:0;3:1;4:-1;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:0;3:1;4:-1;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:1;3:1;4:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1,0,2:-1;3:-1;4:0;5:-1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:11;3:5;4:2;5:1;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0,2:5;3:2;4:1;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0
