n,steps,r_start,depth_len,selected_depths,selected_count,selected_depths_are_prefix,selected_depths_are_consecutive,frontier_depth,max_selected_depth,missing_selected_depths,min_selected_margin,max_unselected_margin,margin_profile
9599,128,2,10,2;3;4,3,True,True,5,4,,1,0,2:8;3:2;4:1;5:0;6:-1;7:-1;8:0;9:0;10:0;11:0
9601,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-2;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9603,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:0;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9605,128,2,10,2,1,True,True,3,2,,5,0,2:5;3:-2;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9607,128,2,10,2,1,True,True,3,2,,5,0,2:5;3:-1;4:-1;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9609,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:-2;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9611,128,2,10,2,1,True,True,3,2,,4,0,2:4;3:-2;4:-2;5:-1;6:-1;7:0;8:0;9:0;10:0;11:0
9613,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:3;3:3;4:2;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
9615,128,2,10,2,1,True,True,3,2,,3,0,2:3;3:-1;4:-2;5:0;6:-1;7:0;8:0;9:0;10:0;11:0
9617,128,2,10,,0,True,True,2,0,,0,0,2:-2;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9619,128,2,10,,0,True,True,2,0,,0,0,2:-4;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9621,128,2,10,2;3;4;5,4,True,True,6,5,,1,0,2:2;3:3;4:2;5:1;6:0;7:-1;8:0;9:0;10:0;11:0
9623,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-2;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9625,128,2,10,,0,True,True,2,0,,0,0,2:-3;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9627,128,2,10,,0,True,True,2,0,,0,0,2:0;3:0;4:-1;5:0;6:0;7:0;8:0;9:0;10:0;11:0
9629,128,2,10,,0,True,True,2,0,,0,0,2:-1;3:-1;4:0;5:-1;6:0;7:0;8:0;9:0;10:0;11:0
