root,blocks_audited,reached_state_one_endpoint,maximum_queue,terminal_block,witness_start_block,witness_block_count,witness_length,witness_claim_holes,witness_terminal_valuation,witness_absorption_deficit
10553,19,True,1,1,1,1,2,0,1,1
10555,24,True,3,15,10,6,19,8,8,3
10557,25,True,3,16,11,6,19,8,8,3
10559,12,True,1,0,0,1,6,3,2,1
10561,13,True,1,6,6,1,2,0,1,1
10563,10,True,1,6,6,1,3,1,1,1
10565,19,True,2,3,2,2,6,2,2,2
10567,10,True,1,0,0,1,3,1,1,1
10569,12,True,1,8,8,1,3,1,1,1
10571,19,True,2,10,10,1,4,1,1,2
10573,19,True,2,10,10,1,4,1,1,2
10575,12,True,1,5,5,1,2,0,1,1
10577,10,True,2,2,2,1,5,2,1,2
10579,9,True,2,1,1,1,6,2,2,2
10581,18,True,5,9,1,9,27,11,11,5
10583,11,True,1,4,4,1,2,0,1,1
10585,25,True,3,16,11,6,19,8,8,3
10587,23,True,4,12,12,1,8,3,1,4
10589,11,True,1,4,4,1,2,0,1,1
10591,22,True,3,13,8,6,19,8,8,3
10593,23,True,4,12,12,1,8,3,1,4
10595,19,True,1,2,2,1,4,2,1,1
10597,19,True,1,2,2,1,4,2,1,1
10599,27,True,4,10,7,4,13,5,4,4
10601,10,True,1,3,3,1,2,0,1,1
10603,19,True,3,4,4,1,6,2,1,3
10605,28,True,3,19,14,6,19,8,8,3
10607,9,True,1,0,0,1,4,2,1,1
10609,6,True,0,-1,-1,0,0,0,0,0
10611,19,True,1,15,15,1,3,1,1,1
10613,5,True,0,-1,-1,0,0,0,0,0
10615,23,True,3,14,9,6,19,8,8,3
10617,43,True,4,2,1,2,10,4,2,4
10619,21,True,1,5,5,1,3,1,1,1
10621,11,True,0,-1,-1,0,0,0,0,0
10623,18,True,1,14,14,1,3,1,1,1
10625,13,True,0,-1,-1,0,0,0,0,0
10627,12,True,0,-1,-1,0,0,0,0,0
10629,11,True,0,-1,-1,0,0,0,0,0
10631,11,True,1,0,0,1,3,1,1,1
10633,23,True,3,14,9,6,19,8,8,3
10635,11,True,0,-1,-1,0,0,0,0,0
10637,11,True,0,-1,-1,0,0,0,0,0
10639,11,True,0,-1,-1,0,0,0,0,0
10641,12,True,0,-1,-1,0,0,0,0,0
10643,10,True,0,-1,-1,0,0,0,0,0
10645,11,True,0,-1,-1,0,0,0,0,0
10647,9,True,0,-1,-1,0,0,0,0,0
10649,11,True,0,-1,-1,0,0,0,0,0
10651,19,True,2,2,2,1,6,2,2,2
10653,17,True,4,8,8,1,7,2,1,4
10655,25,True,3,16,11,6,19,8,8,3
10657,17,True,4,8,8,1,7,2,1,4
10659,10,True,0,-1,-1,0,0,0,0,0
10661,10,True,1,1,1,1,4,1,2,1
10663,11,True,1,0,0,1,3,1,1,1
10665,30,True,5,21,13,9,27,11,11,5
10667,26,True,3,17,12,6,19,8,8,3
10669,10,True,1,5,5,1,2,0,1,1
10671,15,True,4,6,6,1,7,2,1,4
10673,12,True,0,-1,-1,0,0,0,0,0
10675,11,True,0,-1,-1,0,0,0,0,0
10677,22,True,3,3,2,2,8,3,2,3
10679,9,True,0,-1,-1,0,0,0,0,0
10681,12,True,1,1,1,1,2,0,1,1
10683,17,True,1,6,6,1,5,2,2,1
10685,10,True,1,1,1,1,3,1,1,1
10687,17,True,3,1,0,2,9,4,2,3
10689,23,True,3,14,9,6,19,8,8,3
10691,25,True,4,8,6,3,12,5,3,4
10693,19,True,4,10,2,9,26,11,11,4
10695,13,True,4,5,4,2,10,4,2,4
10697,33,True,4,24,16,9,26,11,11,4
10699,9,True,0,-1,-1,0,0,0,0,0
10701,9,True,1,4,4,1,4,1,2,1
10703,33,True,5,24,16,9,27,11,11,5
10705,8,True,1,3,3,1,4,1,2,1
10707,8,True,1,1,1,1,3,1,1,1
10709,12,True,2,3,1,3,10,4,4,2
10711,21,True,1,2,2,1,2,0,1,1
10713,6,True,0,-1,-1,0,0,0,0,0
10715,33,True,4,24,16,9,26,11,11,4
10717,6,True,0,-1,-1,0,0,0,0,0
10719,31,True,4,22,14,9,26,11,11,4
10721,22,True,1,4,4,1,4,2,1,1
10723,12,True,1,3,3,1,6,3,2,1
